               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074676,            0.020007,            0.065555,            0.083209,             0.17399,            0.081022,             0.03728,            0.043128,            0.011474,            0.059949,            0.070061,           0.0033265,           0.0033265
                   1,            0.049945,            0.013842,            0.058094,             0.14879,             0.29195,             0.17813,            0.098266,             0.03903,           0.0092118,            0.053696,             0.03993,            0.006528,            0.006528
                   2,            0.047677,            0.011759,            0.047022,             0.27806,             0.49848,              0.2922,             0.16324,            0.037572,           0.0083585,            0.039551,           0.0096657,           0.0095974,           0.0095974
                   3,            0.043838,            0.010629,             0.03738,             0.29866,             0.53166,             0.38025,             0.24325,            0.034362,           0.0078896,            0.034263,            0.009406,            0.009406,            0.009406
                   4,             0.04049,            0.010038,            0.033034,             0.45749,             0.54155,             0.47213,             0.30074,            0.031743,           0.0073701,            0.030821,            0.009406,            0.009406,            0.009406
                   5,            0.038949,           0.0097909,            0.028253,             0.52773,             0.58612,             0.57165,             0.36161,            0.030268,            0.007141,            0.024702,            0.009208,            0.009208,            0.009208
                   6,            0.037337,           0.0095839,            0.024252,             0.53558,             0.58094,             0.59848,             0.39687,            0.028425,           0.0070165,            0.023391,             0.00901,             0.00901,             0.00901
                   7,              0.0366,           0.0092762,            0.021452,             0.61167,             0.66235,             0.63886,             0.43453,            0.028282,           0.0071988,            0.020355,            0.008812,            0.008812,            0.008812
                   8,            0.035609,           0.0091676,            0.019282,             0.72744,             0.62333,              0.6844,             0.46959,            0.028283,           0.0066671,            0.018366,            0.008614,            0.008614,            0.008614
                   9,            0.034857,           0.0089641,            0.017906,             0.65504,             0.68417,             0.68625,             0.46996,            0.026867,           0.0066949,            0.017075,            0.008416,            0.008416,            0.008416
                  10,            0.034037,           0.0089392,            0.016262,             0.66028,             0.69026,             0.68788,             0.48599,            0.025894,           0.0066772,            0.016112,            0.008218,            0.008218,            0.008218
                  11,            0.033195,           0.0085917,            0.015805,             0.68963,             0.69436,             0.71044,             0.49811,            0.026447,           0.0062721,            0.015757,             0.00802,             0.00802,             0.00802
                  12,            0.032492,           0.0084833,            0.014922,             0.73148,             0.67556,             0.71902,             0.50638,             0.02627,           0.0060903,            0.015032,            0.007822,            0.007822,            0.007822
                  13,            0.031979,           0.0083836,            0.014242,             0.70375,             0.69876,              0.7292,             0.51319,            0.027051,           0.0061568,            0.013276,            0.007624,            0.007624,            0.007624
