               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071249,            0.019475,            0.064839,             0.07508,              0.2039,            0.078606,            0.039315,            0.041816,            0.011114,            0.059588,            0.070264,           0.0035294,           0.0035294
                   1,            0.047624,            0.012947,            0.055862,             0.15721,             0.32265,             0.20237,             0.12035,             0.03683,           0.0095148,            0.050049,            0.040328,           0.0069262,           0.0069262
                   2,            0.046899,            0.011073,            0.043423,             0.27499,             0.50379,             0.29919,             0.15894,            0.038504,           0.0082085,            0.037585,            0.010251,            0.010183,            0.010183
                   3,            0.042944,            0.010134,            0.036299,             0.35517,             0.54761,             0.43091,             0.25888,             0.03215,           0.0078371,             0.03313,           0.0099798,           0.0099798,           0.0099798
                   4,            0.039538,            0.009604,             0.03117,             0.49178,             0.57313,             0.53276,             0.34373,            0.029706,           0.0074988,            0.026781,           0.0099798,           0.0099798,           0.0099798
                   5,            0.037839,           0.0093075,            0.025551,             0.56272,             0.61729,              0.5937,             0.37759,            0.030827,           0.0071058,            0.023652,           0.0097697,           0.0097697,           0.0097697
                   6,            0.036226,           0.0092161,            0.022006,              0.6092,             0.63454,             0.62034,             0.41765,            0.028581,           0.0070679,            0.021214,           0.0095596,           0.0095596,           0.0095596
                   7,            0.034979,           0.0088012,            0.019891,             0.65438,             0.64874,             0.64793,             0.44512,            0.028202,           0.0069355,            0.019363,           0.0093495,           0.0093495,           0.0093495
                   8,            0.033952,           0.0087499,            0.017142,             0.70519,             0.66068,             0.69986,              0.4901,            0.026725,            0.006552,            0.016636,           0.0091395,           0.0091395,           0.0091395
                   9,            0.033283,           0.0084361,            0.015997,             0.65446,             0.69198,             0.69011,             0.48209,            0.026919,           0.0069366,            0.017131,           0.0089294,           0.0089294,           0.0089294
                  10,            0.033144,           0.0083762,            0.015296,             0.74268,             0.66493,             0.72779,             0.51094,             0.02579,           0.0065199,            0.015631,           0.0087193,           0.0087193,           0.0087193
                  11,            0.031571,           0.0081328,            0.013286,              0.7351,             0.73802,             0.76801,             0.53847,            0.025259,           0.0063855,            0.011775,           0.0085092,           0.0085092,           0.0085092
                  12,            0.031021,           0.0079448,            0.011845,             0.74631,             0.69046,             0.73215,             0.52769,            0.026192,             0.00646,            0.013007,           0.0082991,           0.0082991,           0.0082991
                  13,            0.031453,           0.0080893,            0.012075,             0.80167,              0.6934,             0.74955,             0.53849,            0.026208,           0.0063215,            0.011992,           0.0080891,           0.0080891,           0.0080891
                  14,            0.030661,           0.0079144,            0.010663,             0.79978,             0.70415,             0.77691,             0.55757,            0.025066,           0.0061365,            0.011956,            0.007879,            0.007879,            0.007879
                  15,            0.030043,           0.0075876,           0.0093029,             0.83051,             0.72947,             0.79159,             0.57434,            0.024153,           0.0059782,           0.0098088,           0.0076689,           0.0076689,           0.0076689
