               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067069,            0.020749,            0.063757,             0.10443,             0.20507,              0.1149,            0.068985,             0.03633,            0.010954,              0.0591,            0.070061,           0.0033265,           0.0033265
                   1,            0.046433,            0.012964,            0.055006,             0.28543,             0.39448,              0.2693,             0.15107,             0.03752,           0.0084174,             0.04617,             0.03993,            0.006528,            0.006528
                   2,            0.045829,            0.010548,            0.038729,             0.39189,             0.54853,             0.44537,             0.25628,             0.03642,           0.0076062,            0.033041,           0.0096657,           0.0095974,           0.0095974
                   3,            0.042156,           0.0097333,            0.029932,             0.54381,             0.59462,             0.57654,             0.38455,            0.031669,             0.00717,            0.024721,            0.009406,            0.009406,            0.009406
                   4,            0.039032,           0.0090308,            0.022551,              0.6503,             0.64061,             0.63996,             0.43066,            0.031699,            0.006959,            0.019879,            0.009406,            0.009406,            0.009406
                   5,            0.037375,           0.0087107,             0.01832,             0.68506,             0.68347,             0.70515,             0.46727,            0.029813,           0.0065182,            0.016326,            0.009208,            0.009208,            0.009208
                   6,            0.035634,            0.008529,             0.01617,             0.68513,             0.69641,              0.7156,             0.48116,            0.026811,           0.0062297,            0.015861,             0.00901,             0.00901,             0.00901
                   7,            0.034514,           0.0082802,             0.01496,              0.6881,             0.76323,             0.74825,             0.51723,            0.027247,            0.006175,            0.013364,            0.008812,            0.008812,            0.008812
                   8,            0.033054,           0.0081015,            0.013846,             0.66316,             0.69478,             0.71706,             0.49228,            0.027454,            0.006375,            0.015087,            0.008614,            0.008614,            0.008614
                   9,            0.032408,            0.007845,            0.012839,             0.76082,             0.72755,              0.7711,             0.53646,            0.025647,            0.006006,            0.013228,            0.008416,            0.008416,            0.008416
                  10,            0.031572,           0.0078925,            0.011725,             0.80236,             0.72411,             0.79964,             0.56139,            0.024583,            0.006103,            0.010717,            0.008218,            0.008218,            0.008218
                  11,            0.030622,           0.0074982,            0.010508,             0.82777,             0.74242,             0.82254,             0.59324,            0.024252,           0.0057355,            0.010751,             0.00802,             0.00802,             0.00802
                  12,             0.03017,           0.0073948,           0.0094733,             0.82458,             0.74512,             0.81243,             0.58312,            0.025217,           0.0058265,           0.0098706,            0.007822,            0.007822,            0.007822
